Interval Start,Interval End,Interval Complete,Filters,Media Type,Agent Id,Agent Name,Handle
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,38fcc711-e80e-4f78-88c2-1e88a75706c3,Olivia Green,5
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,c3aaf240-163b-40cd-aaed-2d10d7def648,Ivan Lewis,1
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,9b585b97-8826-4653-9363-696d3fa4570e,Peter Baker,7
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,a16bfe90-f4bd-4b7c-af6e-881454647f5f,Eve Adams,7
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,d1f3a0e2-47b9-4c73-a3d9-0c1e7f4b6c29,Ursula Rivera,5
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,a10dac0a-bb6c-4eb3-81df-d8f45f96770f,Marie King,1
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,fd3c454b-47c9-491e-9c37-5bc54c413ca4,Nathan Scott,1
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,a07d4b63-36f1-4972-8e9b-c1d2e3f4a5b6,Yolanda Morales,12
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,3775a1f6-e5fd-47bd-8039-e8f8d3a1a6bf,Leo Young,8
2025-07-28 12:20:00,2025-07-28 13:20:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,,,4
