Interval Start,Interval End,Interval Complete,Filters,Media Type,Agent Id,Agent Name,Handle
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,6c7bba2a-d8ec-4b53-9934-cf52606b282a,Alice Smith,9
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,37f0a1b2-2e3d-4f4c-b9fa-1d2e3a4b5c6d,Christine Roberts,12
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,a10dac0a-bb6c-4eb3-81df-d8f45f96770f,Marie King,7
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,65fe4098-4972-4d06-8d5e-cfebc479b2ac,Grace Lee,8
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,5cce8f28-359c-4531-9d91-93f103f4edc1,Dana White,4
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,4ab904ce-5677-4eb1-8354-109907f0f7d8,Quincy Wright,1
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,5d3eedaf-cbf2-4fdc-aaf9-2e39f1c21e12,Heidi Clark,12
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,38fcc711-e80e-4f78-88c2-1e88a75706c3,Olivia Green,7
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,24bb913e-5636-4db3-aab7-1213b0928274,Bob Johnson,12
2025-07-28 12:40:00,2025-07-28 13:40:00,0.0,Initial Direction: Inbound; Queue: LLSA-ACQ-DM,voice,7b6c2d91-3f28-4e66-b2a1-5f9e2f8d3a4b,Victor Ramirez,10
